init_robot_delivery,human_state,prioritize_charge,battery,battery_charging,robot_complete,workload_subtract,battery_threshold,work_load,full_high,inventory,robot_delivery,charging,full,robot_state,increment_robot_delivery,human_workstation,workload_add,complete_transfer_amount,robot_action,human_complete,battery_charge_deduct
10,work,FALSE,20,5,0,1,1,5,20,0,10,FALSE,10,0,10,4,2,0,right,0,1
10,work,FALSE,19,5,0,1,1,4,20,0,10,FALSE,10,1,10,4,2,0,right,1,1
10,work,FALSE,18,5,0,1,1,3,20,0,10,FALSE,10,2,10,4,2,0,right,2,1
10,work,FALSE,17,5,0,1,1,2,20,0,10,FALSE,10,3,10,4,2,0,right,3,1
10,refill,FALSE,16,5,0,1,1,4,20,0,8,FALSE,10,4,10,4,2,3,stay,3,1
10,refill,FALSE,15,5,3,1,1,6,20,0,6,FALSE,10,4,10,4,2,0,left,0,1
10,work,FALSE,14,5,3,1,1,5,20,0,6,FALSE,10,3,10,4,2,0,left,1,1
10,work,FALSE,13,5,3,1,1,4,20,0,6,FALSE,10,2,10,4,2,0,right,2,1
10,work,FALSE,12,5,3,1,1,3,20,0,6,FALSE,10,3,10,4,2,0,right,3,1
10,refill,FALSE,11,5,3,1,1,5,20,0,4,FALSE,10,4,10,4,2,3,stay,3,1
10,refill,FALSE,10,5,6,1,1,7,20,0,2,FALSE,10,4,10,4,2,0,stay,0,1
10,refill,FALSE,9,5,6,1,1,9,20,0,0,FALSE,10,4,10,4,2,0,left,0,1
10,work,FALSE,8,5,6,1,1,8,20,0,0,FALSE,10,3,10,4,2,0,left,1,1
10,work,FALSE,7,5,6,1,1,7,20,0,0,FALSE,10,2,10,4,2,0,left,2,1
10,work,FALSE,6,5,6,1,1,6,20,0,0,FALSE,10,1,10,4,2,0,left,3,1
10,work,FALSE,11,5,6,1,1,5,20,0,0,TRUE,10,0,10,4,2,0,stay,4,1
10,work,FALSE,16,5,0,1,1,4,20,0,10,TRUE,10,0,10,4,2,0,right,5,1
10,work,FALSE,15,5,0,1,1,3,20,0,10,FALSE,10,1,10,4,2,0,right,6,1
10,work,FALSE,14,5,0,1,1,2,20,0,10,FALSE,10,2,10,4,2,0,right,7,1
10,work,FALSE,13,5,0,1,1,1,20,0,10,FALSE,10,3,10,4,2,0,right,8,1
10,refill,FALSE,12,5,0,1,1,3,20,0,8,FALSE,10,4,10,4,2,8,stay,8,1
10,refill,FALSE,11,5,8,1,1,5,20,0,6,FALSE,10,4,10,4,2,0,stay,0,1
10,refill,FALSE,10,5,8,1,1,7,20,0,4,FALSE,10,4,10,4,2,0,left,0,1
10,work,FALSE,9,5,8,1,1,6,20,0,4,FALSE,10,3,10,4,2,0,right,1,1
10,refill,FALSE,8,5,8,1,1,8,20,0,2,FALSE,10,4,10,4,2,1,stay,1,1
10,refill,FALSE,7,5,9,1,1,10,20,0,0,FALSE,10,4,10,4,2,0,left,0,1
10,work,FALSE,6,5,9,1,1,9,20,0,0,FALSE,10,3,10,4,2,0,left,1,1
10,work,FALSE,5,5,9,1,1,8,20,0,0,FALSE,10,2,10,4,2,0,left,2,1
10,work,FALSE,4,5,9,1,1,7,20,0,0,FALSE,10,1,10,4,2,0,left,3,1
10,work,FALSE,9,5,9,1,1,6,20,0,0,TRUE,10,0,10,4,2,0,stay,4,1
10,work,FALSE,14,5,0,1,1,5,20,0,10,TRUE,10,0,10,4,2,0,stay,5,1
10,work,FALSE,19,5,0,1,1,4,20,0,10,TRUE,10,0,10,4,2,0,right,6,1
10,work,FALSE,18,5,0,1,1,3,20,0,10,FALSE,10,1,10,4,2,0,right,7,1
10,work,FALSE,17,5,0,1,1,2,20,0,10,FALSE,10,2,10,4,2,0,right,8,1
10,work,FALSE,16,5,0,1,1,1,20,0,10,FALSE,10,3,10,4,2,0,right,9,1
10,refill,FALSE,15,5,0,1,1,3,20,0,8,FALSE,10,4,10,4,2,9,stay,9,1
10,refill,FALSE,14,5,9,1,1,5,20,0,6,FALSE,10,4,10,4,2,0,stay,0,1
10,refill,FALSE,13,5,9,1,1,7,20,0,4,FALSE,10,4,10,4,2,0,stay,0,1
10,refill,FALSE,12,5,9,1,1,9,20,0,2,FALSE,10,4,10,4,2,0,left,0,1
10,work,FALSE,11,5,9,1,1,8,20,0,2,FALSE,10,3,10,4,2,0,right,1,1
10,refill,FALSE,10,5,9,1,1,10,20,0,0,FALSE,10,4,10,4,2,1,left,1,1
10,work,FALSE,9,5,10,1,1,9,20,0,0,FALSE,10,3,10,4,2,0,left,1,1
10,work,FALSE,8,5,10,1,1,8,20,0,0,FALSE,10,2,10,4,2,0,left,2,1
10,work,FALSE,7,5,10,1,1,7,20,0,0,FALSE,10,1,10,4,2,0,left,3,1
10,work,FALSE,12,5,10,1,1,6,20,0,0,TRUE,10,0,10,4,2,0,stay,4,1
10,work,FALSE,17,5,0,1,1,5,20,0,10,TRUE,10,0,10,4,2,0,right,5,1
10,work,FALSE,16,5,0,1,1,4,20,0,10,FALSE,10,1,10,4,2,0,right,6,1
10,work,FALSE,15,5,0,1,1,3,20,0,10,FALSE,10,2,10,4,2,0,right,7,1
10,work,FALSE,14,5,0,1,1,2,20,0,10,FALSE,10,3,10,4,2,0,right,8,1
10,refill,FALSE,13,5,0,1,1,4,20,0,8,FALSE,10,4,10,4,2,8,stay,8,1
10,refill,FALSE,12,5,8,1,1,6,20,0,6,FALSE,10,4,10,4,2,0,stay,0,1
10,refill,FALSE,11,5,8,1,1,8,20,0,4,FALSE,10,4,10,4,2,0,left,0,1
10,work,FALSE,10,5,8,1,1,7,20,0,4,FALSE,10,3,10,4,2,0,right,1,1
10,refill,FALSE,9,5,8,1,1,9,20,0,2,FALSE,10,4,10,4,2,1,left,1,1
10,work,FALSE,8,5,9,1,1,8,20,0,2,FALSE,10,3,10,4,2,0,left,1,1
10,work,FALSE,7,5,9,1,1,7,20,0,2,FALSE,10,2,10,4,2,0,left,2,1
10,work,FALSE,6,5,9,1,1,6,20,0,2,FALSE,10,1,10,4,2,0,left,3,1
10,work,FALSE,11,5,9,1,1,5,20,0,2,TRUE,10,0,10,4,2,0,stay,4,1
10,work,FALSE,16,5,0,1,1,4,20,0,10,TRUE,10,0,10,4,2,0,right,5,1
10,work,FALSE,15,5,0,1,1,3,20,0,10,FALSE,10,1,10,4,2,0,right,6,1
10,work,FALSE,14,5,0,1,1,2,20,0,10,FALSE,10,2,10,4,2,0,right,7,1
10,work,FALSE,13,5,0,1,1,1,20,0,10,FALSE,10,3,10,4,2,0,right,8,1
10,refill,FALSE,12,5,0,1,1,3,20,0,8,FALSE,10,4,10,4,2,8,stay,8,1
10,refill,FALSE,11,5,8,1,1,5,20,0,6,FALSE,10,4,10,4,2,0,stay,0,1
10,refill,FALSE,10,5,8,1,1,7,20,0,4,FALSE,10,4,10,4,2,0,left,0,1
10,work,FALSE,9,5,8,1,1,6,20,0,4,FALSE,10,3,10,4,2,0,right,1,1
